district,name,picture,href
California 33,Ted Lieu,https://en.wikipedia.org/wiki/wiki/Ted_Lieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Congressman_Ted_W._Lieu_official_photo_%28cropped%29.jpg/75px-Congressman_Ted_W._Lieu_official_photo_%28cropped%29.jpg
California 34,Jimmy Gomez,https://en.wikipedia.org/wiki/wiki/Jimmy_Gomez,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Jimmy_Gomez_official_portrait_%28cropped%29.jpg/75px-Jimmy_Gomez_official_portrait_%28cropped%29.jpg
California 35,Norma Torres,https://en.wikipedia.org/wiki/wiki/Norma_Torres,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Norma_Torres_115th_official_photo_%28cropped%29.jpg/75px-Norma_Torres_115th_official_photo_%28cropped%29.jpg
California 36,Raul Ruiz,https://en.wikipedia.org/wiki/wiki/Raul_Ruiz_(politician),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Raul_Ruiz%2C_official_portrait%2C_113th_congress_%28cropped%29.jpg/75px-Raul_Ruiz%2C_official_portrait%2C_113th_congress_%28cropped%29.jpg
California 37,Karen Bass,https://en.wikipedia.org/wiki/wiki/Karen_Bass,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Karen-Bass-2012_%28cropped%29.jpg/75px-Karen-Bass-2012_%28cropped%29.jpg
California 38,Linda Sánchez,https://en.wikipedia.org/wiki/wiki/Linda_S%C3%A1nchez,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Linda_S%C3%A1nchez_official_photo_%28cropped%29.jpg/75px-Linda_S%C3%A1nchez_official_photo_%28cropped%29.jpg
California 39,Gil Cisneros,https://en.wikipedia.org/wiki/wiki/Gil_Cisneros,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Gil_Cisneros_official_portrait_%28cropped%29.jpg/75px-Gil_Cisneros_official_portrait_%28cropped%29.jpg
California 40,Lucille Roybal-Allard,https://en.wikipedia.org/wiki/wiki/Lucille_Roybal-Allard,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Lucille_Roybal-Allard_official_photo_%28cropped%29.jpg/75px-Lucille_Roybal-Allard_official_photo_%28cropped%29.jpg
California 41,Mark Takano,https://en.wikipedia.org/wiki/wiki/Mark_Takano,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Mark_Takano_113th_Congress_%28cropped%29.jpg/75px-Mark_Takano_113th_Congress_%28cropped%29.jpg
California 42,Ken Calvert,https://en.wikipedia.org/wiki/wiki/Ken_Calvert,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Ken_Calvert_official_photo_%28cropped%29.jpg/75px-Ken_Calvert_official_photo_%28cropped%29.jpg
California 43,Maxine Waters,https://en.wikipedia.org/wiki/wiki/Maxine_Waters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Congresswoman_Waters_official_photo_%28cropped%29.jpg/75px-Congresswoman_Waters_official_photo_%28cropped%29.jpg
California 44,Nanette Barragán,https://en.wikipedia.org/wiki/wiki/Nanette_Barrag%C3%A1n,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Nanette_Barragan_official_portrait_%28cropped_2%29.jpg/75px-Nanette_Barragan_official_portrait_%28cropped_2%29.jpg
California 45,Katie Porter,https://en.wikipedia.org/wiki/wiki/Katie_Porter,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Katie_Porter%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Katie_Porter%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
California 46,Lou Correa,https://en.wikipedia.org/wiki/wiki/Lou_Correa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Lou_Correa_official_portrait.jpg/75px-Lou_Correa_official_portrait.jpg
California 47,Alan Lowenthal,https://en.wikipedia.org/wiki/wiki/Alan_Lowenthal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Alan_Lowenthal_113th_Congress_Portrait_%28cropped%29.jpeg/75px-Alan_Lowenthal_113th_Congress_Portrait_%28cropped%29.jpeg
California 48,Harley Rouda,https://en.wikipedia.org/wiki/wiki/Harley_Rouda,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Harley_Rouda%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Harley_Rouda%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
California 49,Mike Levin,https://en.wikipedia.org/wiki/wiki/Mike_Levin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Mike_Levin_%28cropped%29.jpg/75px-Mike_Levin_%28cropped%29.jpg
California 51,Juan Vargas,https://en.wikipedia.org/wiki/wiki/Juan_Vargas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Juan_Vargas_official_photo_%28cropped%29.jpg/75px-Juan_Vargas_official_photo_%28cropped%29.jpg
California 52,Scott Peters,https://en.wikipedia.org/wiki/wiki/Scott_Peters_(politician),https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Scott_Peters_official_portrait_116th_Congress_%28cropped%29.jpg/75px-Scott_Peters_official_portrait_116th_Congress_%28cropped%29.jpg
California 53,Susan Davis,https://en.wikipedia.org/wiki/wiki/Susan_Davis_(politician),https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Susan_A._Davis_113th_Congress.jpg/75px-Susan_A._Davis_113th_Congress.jpg
Colorado 1,Diana DeGette,https://en.wikipedia.org/wiki/wiki/Diana_DeGette,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Diana_DeGette_official_photo_%28cropped_2%29.jpg/75px-Diana_DeGette_official_photo_%28cropped_2%29.jpg
Colorado 2,Joe Neguse,https://en.wikipedia.org/wiki/wiki/Joe_Neguse,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Joe_Neguse%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Joe_Neguse%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
Colorado 3,Scott Tipton,https://en.wikipedia.org/wiki/wiki/Scott_Tipton,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Scott_Tipton_official_photo_%28cropped%29.jpg/75px-Scott_Tipton_official_photo_%28cropped%29.jpg
Colorado 4,Ken Buck,https://en.wikipedia.org/wiki/wiki/Ken_Buck,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Ken_Buck_official_congressional_photo_%28cropped%29.jpg/75px-Ken_Buck_official_congressional_photo_%28cropped%29.jpg
Colorado 5,Doug Lamborn,https://en.wikipedia.org/wiki/wiki/Doug_Lamborn,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Doug_Lamborn_official_portrait_%28cropped%29.jpg/75px-Doug_Lamborn_official_portrait_%28cropped%29.jpg
Colorado 6,Jason Crow,https://en.wikipedia.org/wiki/wiki/Jason_Crow,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Jason_Crow%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Jason_Crow%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
Colorado 7,Ed Perlmutter,https://en.wikipedia.org/wiki/wiki/Ed_Perlmutter,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ed_Perlmutter_officia_photo.jpg/75px-Ed_Perlmutter_officia_photo.jpg
Connecticut 1,John B. Larson,https://en.wikipedia.org/wiki/wiki/John_B._Larson,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/John_B_Larson%2C_Official_Portrait%2C_circa_111_-_112th_Congress.jpg/75px-John_B_Larson%2C_Official_Portrait%2C_circa_111_-_112th_Congress.jpg
Connecticut 2,Joe Courtney,https://en.wikipedia.org/wiki/wiki/Joe_Courtney_(politician),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Joe_Courtney_official_photo_%28cropped_2%29.jpg/75px-Joe_Courtney_official_photo_%28cropped_2%29.jpg
Connecticut 3,Rosa DeLauro,https://en.wikipedia.org/wiki/wiki/Rosa_DeLauro,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Rosa_DeLauro_Portrait.jpg/75px-Rosa_DeLauro_Portrait.jpg
Connecticut 4,Jim Himes,https://en.wikipedia.org/wiki/wiki/Jim_Himes,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Jim_Himes_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg/75px-Jim_Himes_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg
Connecticut 5,Jahana Hayes,https://en.wikipedia.org/wiki/wiki/Jahana_Hayes,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Jahana_Hayes%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Jahana_Hayes%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
Delaware at-large,Lisa Blunt Rochester,https://en.wikipedia.org/wiki/wiki/Lisa_Blunt_Rochester,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lisa_Blunt_Rochester_official_photo_%28cropped%29.jpg/75px-Lisa_Blunt_Rochester_official_photo_%28cropped%29.jpg
Florida 1,Matt Gaetz,https://en.wikipedia.org/wiki/wiki/Matt_Gaetz,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Matt_Gaetz%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Matt_Gaetz%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
Florida 2,Neal Dunn,https://en.wikipedia.org/wiki/wiki/Neal_Dunn,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Neal_Dunn_115th_Congress_photo_%28cropped%29.jpg/75px-Neal_Dunn_115th_Congress_photo_%28cropped%29.jpg
Florida 3,Ted Yoho,https://en.wikipedia.org/wiki/wiki/Ted_Yoho,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Ted_Yoho_official_photo_%28cropped%29.jpg/75px-Ted_Yoho_official_photo_%28cropped%29.jpg
Florida 4,John Rutherford,https://en.wikipedia.org/wiki/wiki/John_Rutherford_(Florida_politician),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/John_Rutherford_official_photo_%28cropped%29.jpg/75px-John_Rutherford_official_photo_%28cropped%29.jpg
Florida 5,Al Lawson,https://en.wikipedia.org/wiki/wiki/Al_Lawson,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Al_Lawson_115th_Congress_photo_%28cropped%29.jpg/75px-Al_Lawson_115th_Congress_photo_%28cropped%29.jpg
Florida 6,Michael Waltz,https://en.wikipedia.org/wiki/wiki/Michael_Waltz,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Michael_Waltz%2C_official_portrait%2C_116th_Congress_%28cropped%29_%28cropped%29.jpg/75px-Michael_Waltz%2C_official_portrait%2C_116th_Congress_%28cropped%29_%28cropped%29.jpg
Florida 7,Stephanie Murphy,https://en.wikipedia.org/wiki/wiki/Stephanie_Murphy,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Stephanie_Murphy_official_photo_%28cropped%29.jpg/75px-Stephanie_Murphy_official_photo_%28cropped%29.jpg
Florida 8,Bill Posey,https://en.wikipedia.org/wiki/wiki/Bill_Posey,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Bill_Posey_Official_Portrait_%28cropped%29.jpg/75px-Bill_Posey_Official_Portrait_%28cropped%29.jpg
Florida 9,Darren Soto,https://en.wikipedia.org/wiki/wiki/Darren_Soto,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Darren_Soto_115th_Congress_photo_%28cropped%29.jpg/75px-Darren_Soto_115th_Congress_photo_%28cropped%29.jpg
Florida 10,Val Demings,https://en.wikipedia.org/wiki/wiki/Val_Demings,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Val_Demings%2C_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg/75px-Val_Demings%2C_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg
Florida 11,Daniel Webster,https://en.wikipedia.org/wiki/wiki/Daniel_Webster_(Florida_politician),https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Daniel_Webster%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg/75px-Daniel_Webster%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg
Florida 12,Gus Bilirakis,https://en.wikipedia.org/wiki/wiki/Gus_Bilirakis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Gusbilirakis.jpeg/75px-Gusbilirakis.jpeg
Florida 13,Charlie Crist,https://en.wikipedia.org/wiki/wiki/Charlie_Crist,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Charlie_Crist_115th_Congress_photo_%28cropped%29.jpg/75px-Charlie_Crist_115th_Congress_photo_%28cropped%29.jpg
Florida 14,Kathy Castor,https://en.wikipedia.org/wiki/wiki/Kathy_Castor,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Kathy_Castor_113th_Congress.jpg/75px-Kathy_Castor_113th_Congress.jpg
