state,name,picture,href
Mississippi,Cindy Hyde-Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg/95px-Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Cindy_Hyde-Smith
Missouri,Roy Blunt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Roy_Blunt
Missouri,Josh Hawley,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Josh_Hawley_%28cropped%29.jpg/95px-Josh_Hawley_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Josh_Hawley
Montana,Jon Tester,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/JonTester_%28cropped%29.jpg/95px-JonTester_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Jon_Tester
Montana,Steve Daines,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Steve_Daines_official_Senate_portrait_%28cropped%29.jpg/95px-Steve_Daines_official_Senate_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Steve_Daines
Nebraska,Deb Fischer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Deb_Fischer%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg/95px-Deb_Fischer%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Deb_Fischer
Nebraska,Ben Sasse,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Ben_Sasse_Official_photo_%28cropped%29.jpg/95px-Ben_Sasse_Official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ben_Sasse
Nevada,Catherine Cortez Masto,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Catherine_Cortez_Masto_official_portrait_%28cropped%29.jpg/95px-Catherine_Cortez_Masto_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Catherine_Cortez_Masto
Nevada,Jacky Rosen,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Jacky_Rosen%2C_official_portrait%2C_116th_congress_%28cropped-1%29.jpg/95px-Jacky_Rosen%2C_official_portrait%2C_116th_congress_%28cropped-1%29.jpg,https://en.wikipedia.org/wiki/wiki/Jacky_Rosen
New Hampshire,Jeanne Shaheen,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Jeanne_Shaheen%2C_official_Senate_photo_portrait%2C_2009_%28cropped%29.jpg/95px-Jeanne_Shaheen%2C_official_Senate_photo_portrait%2C_2009_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Jeanne_Shaheen
New Hampshire,Maggie Hassan,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Maggie_Hassan%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg/95px-Maggie_Hassan%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Maggie_Hassan
New Jersey,Bob Menendez,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Robert_Menendez_official_Senate_portrait_%28cropped%29.jpg/95px-Robert_Menendez_official_Senate_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Bob_Menendez
New Jersey,Cory Booker,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/95px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg,https://en.wikipedia.org/wiki/wiki/Cory_Booker
New Mexico,Tom Udall,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Tom_Udall_official_photo_%28cropped%29.jpg/95px-Tom_Udall_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Tom_Udall
New Mexico,Martin Heinrich,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Heinrich_Official_Headshot_2019_%28cropped%29.jpg/95px-Heinrich_Official_Headshot_2019_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Martin_Heinrich
New York,Chuck Schumer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Chuck_Schumer_official_photo_%28cropped%29.jpg/95px-Chuck_Schumer_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Chuck_Schumer
New York,Kirsten Gillibrand,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/95px-Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Kirsten_Gillibrand
